Customer ID,Segment,Recency,Frequency,Monetary,AvgOrderValue,ReturnRate,Churn_Risk,Churn_Risk_Label,Churn
37702,At-Risk,1046,7,27410,3915.714285714286,0.7142857142857143,0.7335093498541554,High,0
23120,At-Risk,938,5,22170,4434.0,0.4,0.7075782605435562,High,1
34365,At-Risk,770,7,21453,3064.714285714286,0.8571428571428571,0.6786233208944382,High,0
2960,At-Risk,890,7,21117,3016.714285714286,0.42857142857142855,0.6734497425254667,High,0
41811,At-Risk,811,6,20542,3423.6666666666665,0.6666666666666666,0.6870213916938477,High,1
40721,At-Risk,767,6,19629,3271.5,0.6666666666666666,0.6758986627931247,High,0
40192,At-Risk,758,7,19571,2795.8571428571427,0.7142857142857143,0.6655506569990692,High,0
43525,At-Risk,886,7,19044,2720.5714285714284,0.2857142857142857,0.6633277507965135,High,0
5658,At-Risk,814,6,18975,3162.5,0.6666666666666666,0.692016529824385,High,0
33300,At-Risk,727,6,18951,3158.5,0.6666666666666666,0.6653918238697716,High,1
5457,At-Risk,838,6,18590,3098.3333333333335,0.6666666666666666,0.7003796632135029,High,0
44422,At-Risk,855,7,18482,2640.285714285714,0.5714285714285714,0.6838514253601904,High,1
16408,At-Risk,817,5,18426,3685.2,0.2,0.6601977512557503,High,0
19939,At-Risk,776,5,18336,3667.2,0.4,0.6678551039259497,High,0
47009,At-Risk,838,5,17973,3594.6,0.4,0.6878174693072056,High,0
16237,At-Risk,826,6,17937,2989.5,0.3333333333333333,0.6650634369601524,High,0
27202,At-Risk,954,7,17760,2537.1428571428573,0.42857142857142855,0.7018113284122455,High,1
24072,At-Risk,809,6,17315,2885.8333333333335,0.5,0.6781328546711838,High,0
25179,At-Risk,680,5,17146,3429.2,0.6,0.6615017772346452,High,0
34201,At-Risk,739,6,17122,2853.6666666666665,0.8333333333333334,0.6904956806869847,High,0
46801,At-Risk,922,6,16720,2786.6666666666665,0.3333333333333333,0.6976760277263495,High,0
28232,At-Risk,708,6,16263,2710.5,0.8333333333333334,0.6832202579755532,High,0
3320,At-Risk,794,6,16213,2702.1666666666665,0.5,0.6763973148441371,High,0
41342,At-Risk,740,4,16080,4020.0,0.25,0.6601787564622182,High,0
29130,At-Risk,774,6,15910,2651.6666666666665,0.6666666666666666,0.6877169461344216,High,0
31442,At-Risk,699,6,15868,2644.6666666666665,0.6666666666666666,0.6648200297322528,High,1
43010,At-Risk,774,6,15831,2638.5,0.5,0.6712557143916921,High,0
16054,At-Risk,791,5,15722,3144.4,0.4,0.679253886504264,High,1
27730,At-Risk,680,5,15639,3127.8,0.8,0.6854206434419006,High,1
9081,At-Risk,768,6,15571,2595.1666666666665,0.5,0.6700913385336857,High,0
9093,At-Risk,768,5,15562,3112.4,0.4,0.6726147425123621,High,0
23807,At-Risk,1023,6,15514,2585.6666666666665,0.5,0.748460422627675,High,0
14986,At-Risk,681,6,15408,2568.0,0.8333333333333334,0.6771614273608518,High,0
27650,At-Risk,791,5,15376,3075.2,0.8,0.720153639462267,High,0
36821,At-Risk,665,5,15125,3025.0,0.8,0.6821560436746639,High,0
13129,At-Risk,797,4,15090,3772.5,0.5,0.7052378566933066,High,0
46432,At-Risk,698,5,15090,3018.0,0.6,0.6723697585337973,High,0
16424,At-Risk,570,4,15029,3757.25,1.0,0.6857645818194001,High,0
15308,At-Risk,907,5,15003,3000.6,0.4,0.7167064264421885,High,0
48563,At-Risk,703,5,14928,2985.6,0.6,0.6743247724812604,High,0
33763,At-Risk,941,4,14852,3713.0,0.0,0.7000285410482973,High,0
9371,At-Risk,818,6,14850,2475.0,0.3333333333333333,0.6706370139160877,High,0
27218,At-Risk,944,5,14776,2955.2,0.4,0.728646420044782,High,0
27451,At-Risk,814,8,14537,1817.125,0.5,0.6618906250872465,High,0
9154,At-Risk,811,7,14281,2040.142857142857,0.42857142857142855,0.6669932357168553,High,0
44995,At-Risk,996,4,14114,3528.5,0.25,0.7438188329439318,High,0
6539,At-Risk,846,6,14113,2352.1666666666665,0.3333333333333333,0.6811424967806899,High,0
13611,At-Risk,916,5,14100,2820.0,0.6,0.7418153618323704,High,0
11109,At-Risk,771,6,14030,2338.3333333333335,0.5,0.6750188651702691,High,0
36831,At-Risk,812,4,13936,3484.0,0.5,0.712839993841898,High,1
40629,At-Risk,770,5,13865,2773.0,0.4,0.6776411896464117,High,0
2848,At-Risk,732,4,13855,3463.75,0.75,0.7135107523493718,High,0
9510,At-Risk,763,5,13734,2746.8,0.8,0.7158346082944531,High,0
27265,At-Risk,1046,5,13701,2740.2,0.6,0.7827302388338533,High,0
9192,At-Risk,806,5,13611,2722.2,0.4,0.6893446467187766,High,0
26500,At-Risk,659,5,13542,2708.4,0.6,0.6644320526820848,High,1
9443,At-Risk,833,5,13541,2708.2,0.4,0.6978088862529943,High,1
30077,At-Risk,651,4,13471,3367.75,1.0,0.7146626963393593,High,0
34002,At-Risk,831,4,13441,3360.25,0.5,0.7199554335279943,High,0
24055,At-Risk,879,5,13368,2673.6,0.2,0.6923691921798486,High,0
1773,At-Risk,1027,6,13310,2218.3333333333335,0.3333333333333333,0.7387521241596756,High,0
46134,At-Risk,805,5,13207,2641.4,0.4,0.6900884768508806,High,0
25362,At-Risk,701,4,13200,3300.0,0.5,0.6807048394546091,High,1
41758,At-Risk,565,4,13184,3296.0,0.75,0.6640286551167687,High,0
46453,At-Risk,649,7,13184,1883.4285714285713,0.8571428571428571,0.6630098119966985,High,0
38399,At-Risk,791,3,13136,4378.666666666667,0.0,0.6709786297106091,High,0
47296,At-Risk,782,6,13077,2179.5,0.3333333333333333,0.6642046529300574,High,1
38308,At-Risk,729,6,13006,2167.6666666666665,0.6666666666666666,0.6814649489390702,High,0
49619,At-Risk,785,4,12955,3238.75,0.25,0.6821088189286658,High,0
45253,At-Risk,837,5,12891,2578.2,0.6,0.7207261674668743,High,0
44083,At-Risk,828,4,12864,3216.0,0.5,0.7205356432065846,High,1
19205,At-Risk,557,4,12795,3198.75,0.75,0.6625862393539417,High,0
9258,At-Risk,783,5,12775,2555.0,0.6,0.7044634015696778,High,0
23744,At-Risk,843,4,12648,3162.0,0.0,0.6756985656886824,High,0
